latitude,longitude,gfw_integrated_alerts__date,gfw_integrated_alerts__confidence,umd_glad_landsat_alerts__confidence,umd_glad_sentinel2_alerts__confidence,wur_radd_alerts__confidence
4.99175,-74.01025,2025-04-13,high,high,not_detected,not_detected
4.99175,-74.01015,2025-04-13,high,high,not_detected,not_detected
4.99175,-74.01005,2025-04-13,high,high,not_detected,not_detected
4.99165,-74.01025,2025-04-13,high,high,not_detected,not_detected
4.99165,-74.01015,2025-04-13,high,high,not_detected,not_detected
4.99165,-74.01005,2025-04-13,high,high,not_detected,not_detected
4.99155,-74.01025,2025-04-13,high,high,not_detected,not_detected
4.99155,-74.01015,2025-04-13,high,high,not_detected,not_detected
4.99155,-74.01005,2025-04-13,high,high,not_detected,not_detected
4.99145,-74.00895,2025-04-13,high,high,not_detected,not_detected
4.99145,-74.00885,2025-04-13,high,high,not_detected,not_detected
4.99135,-74.00895,2025-04-13,high,high,not_detected,not_detected
4.99135,-74.00885,2025-04-13,high,high,not_detected,not_detected
4.99025,-74.01195,2025-04-13,high,high,not_detected,not_detected
4.99025,-74.01185,2025-04-13,high,high,not_detected,not_detected
4.99015,-74.01195,2025-04-13,high,high,not_detected,not_detected
4.99015,-74.01185,2025-04-13,high,high,not_detected,not_detected
4.99005,-74.01195,2025-04-13,high,high,not_detected,not_detected
4.99005,-74.01185,2025-04-13,high,high,not_detected,not_detected
4.61045,-74.23795,2025-04-05,high,high,not_detected,not_detected
4.61045,-74.23785,2025-04-05,high,high,not_detected,not_detected
4.61045,-74.23775,2025-04-05,high,high,not_detected,not_detected
4.61045,-74.23765,2025-04-05,high,high,not_detected,not_detected
4.61045,-74.23755,2025-04-05,high,high,not_detected,not_detected
4.61035,-74.23795,2025-04-05,high,high,not_detected,not_detected
4.61035,-74.23785,2025-04-05,high,high,not_detected,not_detected
4.61035,-74.23775,2025-04-05,high,high,not_detected,not_detected
4.61035,-74.23765,2025-04-05,high,high,not_detected,not_detected
4.61035,-74.23755,2025-04-05,high,high,not_detected,not_detected
4.47525,-74.10195,2025-04-13,high,high,not_detected,not_detected
4.47525,-74.10185,2025-04-13,high,high,not_detected,not_detected
4.47515,-74.10195,2025-04-13,high,high,not_detected,not_detected
4.47515,-74.10185,2025-04-13,high,high,not_detected,not_detected
4.47505,-74.10195,2025-04-13,high,high,not_detected,not_detected
4.47505,-74.10185,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10175,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10165,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10155,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10145,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10135,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10095,2025-04-13,high,high,not_detected,not_detected
4.47475,-74.10085,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10175,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10165,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10155,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10145,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10135,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10095,2025-04-13,high,high,not_detected,not_detected
4.47465,-74.10085,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10175,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10165,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10155,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10145,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10135,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10095,2025-04-13,high,high,not_detected,not_detected
4.47455,-74.10085,2025-04-13,high,high,not_detected,not_detected
4.38425,-74.13595,2025-04-13,high,high,not_detected,not_detected
4.38425,-74.13585,2025-04-13,high,high,not_detected,not_detected
4.38415,-74.13595,2025-04-13,high,high,not_detected,not_detected
4.38415,-74.13585,2025-04-13,high,high,not_detected,not_detected
4.38405,-74.13595,2025-04-13,high,high,not_detected,not_detected
4.38405,-74.13585,2025-04-13,high,high,not_detected,not_detected
4.37625,-74.07485,2025-04-12,high,not_detected,high,not_detected
4.37625,-74.07475,2025-04-12,high,not_detected,high,not_detected
4.37625,-74.07465,2025-04-12,high,not_detected,high,not_detected
4.37575,-74.07465,2025-04-12,high,not_detected,high,not_detected
4.37565,-74.07475,2025-04-12,high,not_detected,high,not_detected
4.37565,-74.07455,2025-04-12,high,not_detected,high,not_detected
4.37555,-74.07395,2025-04-12,high,not_detected,high,not_detected
4.37545,-74.07325,2025-04-12,high,not_detected,high,not_detected
4.37535,-74.07325,2025-04-12,high,not_detected,high,not_detected
4.37535,-74.07315,2025-04-12,high,not_detected,high,not_detected
4.37515,-74.07315,2025-04-12,high,not_detected,high,not_detected
4.17545,-74.11925,2025-06-14,highest,nominal,not_detected,high
4.17535,-74.11925,2025-06-14,highest,nominal,not_detected,high
4.17495,-74.11575,2025-04-15,high,not_detected,not_detected,high
4.17485,-74.11575,2025-06-02,high,not_detected,not_detected,high
4.17475,-74.11575,2025-06-02,high,not_detected,not_detected,high
4.17465,-74.11595,2025-04-03,high,not_detected,not_detected,high
4.17465,-74.11585,2025-06-02,high,not_detected,not_detected,high
4.17095,-74.01335,2025-04-12,high,not_detected,high,not_detected
4.17085,-74.01335,2025-04-12,high,not_detected,high,not_detected
4.17065,-74.01345,2025-04-12,high,not_detected,high,not_detected
4.17055,-74.01345,2025-04-12,high,not_detected,high,not_detected
4.14275,-74.01725,2025-05-21,high,not_detected,not_detected,high
4.14265,-74.01735,2025-05-21,high,not_detected,not_detected,high
4.13165,-74.01475,2025-04-15,high,not_detected,not_detected,high
4.12045,-74.39705,2025-04-27,high,not_detected,not_detected,high
4.12035,-74.39705,2025-04-27,high,not_detected,not_detected,high
4.12025,-74.39705,2025-04-27,high,not_detected,not_detected,high
4.12015,-74.39745,2025-06-14,high,not_detected,not_detected,high
4.12015,-74.39705,2025-04-15,high,not_detected,not_detected,high
4.12015,-74.39695,2025-04-27,high,not_detected,not_detected,high
4.11995,-74.39705,2025-04-15,high,not_detected,not_detected,high
4.11515,-74.05935,2025-04-15,high,not_detected,not_detected,high
4.11215,-74.09405,2025-05-21,high,not_detected,not_detected,high
4.11215,-74.09395,2025-04-15,highest,nominal,not_detected,high
4.11205,-74.09405,2025-05-21,high,not_detected,not_detected,high
4.11205,-74.09395,2025-04-15,highest,nominal,not_detected,high
4.11205,-74.09385,2025-06-26,highest,nominal,not_detected,high
4.11195,-74.09405,2025-05-21,high,not_detected,not_detected,high
4.11195,-74.09395,2025-05-21,high,not_detected,not_detected,high
4.10355,-74.39445,2025-06-26,high,not_detected,not_detected,high
4.10345,-74.39435,2025-06-26,high,not_detected,not_detected,high
4.10345,-74.39425,2025-06-26,high,not_detected,not_detected,high
3.97915,-74.53125,2025-06-19,high,not_detected,not_detected,high
3.97905,-74.53135,2025-06-19,high,not_detected,not_detected,high
3.97905,-74.53125,2025-06-19,high,not_detected,not_detected,high
3.97895,-74.53125,2025-06-19,high,not_detected,not_detected,high
3.97885,-74.53125,2025-06-19,high,not_detected,not_detected,high
3.96905,-74.53075,2025-06-14,high,not_detected,not_detected,high
3.96625,-74.52565,2025-06-14,high,not_detected,not_detected,high
3.96625,-74.52555,2025-06-14,high,not_detected,not_detected,high
3.96625,-74.52545,2025-06-02,high,not_detected,not_detected,high
3.96545,-74.52755,2025-06-19,high,not_detected,not_detected,high
3.96505,-74.52795,2025-06-19,high,not_detected,not_detected,high
3.96505,-74.52785,2025-06-19,high,not_detected,not_detected,high
3.96495,-74.52535,2025-04-03,high,not_detected,not_detected,high
3.96445,-74.52565,2025-04-03,high,not_detected,not_detected,high
3.86415,-74.53185,2025-06-19,high,not_detected,not_detected,high
3.85575,-74.53155,2025-06-14,high,not_detected,not_detected,high
3.85565,-74.53145,2025-06-19,high,not_detected,not_detected,high
3.85565,-74.53135,2025-06-19,high,not_detected,not_detected,high
3.85555,-74.53165,2025-06-26,high,not_detected,not_detected,high
3.85555,-74.53155,2025-06-26,high,not_detected,not_detected,high
3.85555,-74.53145,2025-06-26,high,not_detected,not_detected,high
3.85555,-74.53135,2025-06-19,high,not_detected,not_detected,high
3.85555,-74.53125,2025-06-19,high,not_detected,not_detected,high
3.85555,-74.53085,2025-06-19,high,not_detected,not_detected,high
3.85545,-74.53155,2025-06-26,high,not_detected,not_detected,high
3.85545,-74.53145,2025-06-26,high,not_detected,not_detected,high
3.85545,-74.53135,2025-06-26,high,not_detected,not_detected,high
3.85545,-74.53075,2025-06-19,high,not_detected,not_detected,high
3.85535,-74.53145,2025-06-26,high,not_detected,not_detected,high
3.85535,-74.53135,2025-06-26,high,not_detected,not_detected,high
3.85535,-74.53115,2025-06-02,high,not_detected,not_detected,high
3.85525,-74.53115,2025-06-14,high,not_detected,not_detected,high
3.84035,-74.52245,2025-06-19,high,not_detected,not_detected,high
3.84025,-74.52235,2025-06-19,high,not_detected,not_detected,high
3.83975,-74.50225,2025-04-27,high,not_detected,not_detected,high
3.99475,-74.46375,2025-04-21,high,high,not_detected,not_detected
3.99475,-74.46365,2025-04-21,high,high,not_detected,not_detected
3.99475,-74.46355,2025-04-21,high,high,not_detected,not_detected
3.99465,-74.46375,2025-04-21,high,high,not_detected,not_detected
3.99465,-74.46365,2025-04-21,high,high,not_detected,not_detected
3.99465,-74.46355,2025-04-21,high,high,not_detected,not_detected
3.99455,-74.46375,2025-04-21,high,high,not_detected,not_detected
3.99455,-74.46365,2025-04-21,high,high,not_detected,not_detected
3.99455,-74.46355,2025-04-21,high,high,not_detected,not_detected
3.99445,-74.46375,2025-04-21,high,high,not_detected,not_detected
3.99445,-74.46365,2025-04-21,high,high,not_detected,not_detected
3.99445,-74.46355,2025-04-21,high,high,not_detected,not_detected
3.99435,-74.46375,2025-04-21,high,high,not_detected,not_detected
3.99435,-74.46365,2025-04-21,high,high,not_detected,not_detected
3.99435,-74.46355,2025-04-21,high,high,not_detected,not_detected
3.97705,-74.44145,2025-04-15,high,not_detected,not_detected,high
3.97695,-74.44145,2025-04-15,high,not_detected,not_detected,high
3.97195,-74.37875,2025-06-19,high,not_detected,not_detected,high
3.97165,-74.37855,2025-06-19,high,not_detected,not_detected,high
3.97135,-74.37875,2025-06-19,high,not_detected,not_detected,high
3.97135,-74.37855,2025-06-26,high,not_detected,not_detected,high
3.86885,-74.48705,2025-06-26,high,not_detected,not_detected,high
3.86875,-74.48705,2025-06-14,high,not_detected,not_detected,high
4.45475,-73.92195,2025-04-13,high,high,not_detected,not_detected
4.45475,-73.92185,2025-04-13,high,high,not_detected,not_detected
4.45465,-73.92195,2025-04-13,high,high,not_detected,not_detected
4.45465,-73.92185,2025-04-13,high,high,not_detected,not_detected
4.45455,-73.92195,2025-04-13,high,high,not_detected,not_detected
4.45455,-73.92185,2025-04-13,high,high,not_detected,not_detected
4.26535,-73.95705,2025-05-21,high,not_detected,not_detected,high
4.26515,-73.95695,2025-05-21,high,not_detected,not_detected,high
4.26345,-73.95445,2025-06-02,high,not_detected,not_detected,high
4.25835,-73.96035,2025-06-19,high,not_detected,not_detected,high
4.25575,-73.95975,2025-04-15,high,not_detected,not_detected,high
4.19565,-73.91725,2025-04-12,high,not_detected,high,not_detected
4.19055,-73.90525,2025-06-19,high,not_detected,not_detected,high
4.18835,-73.92715,2025-06-02,high,not_detected,not_detected,high
4.18835,-73.92705,2025-05-21,high,not_detected,not_detected,high
4.18835,-73.92695,2025-05-21,high,not_detected,not_detected,high
4.18825,-73.92715,2025-04-03,high,not_detected,not_detected,high
4.18815,-73.92705,2025-06-02,high,not_detected,not_detected,high
4.18795,-73.92725,2025-06-02,high,not_detected,not_detected,high
4.18785,-73.92725,2025-06-14,high,not_detected,not_detected,high
4.18785,-73.92715,2025-06-02,high,not_detected,not_detected,high
4.18715,-73.92695,2025-04-15,high,not_detected,not_detected,high
4.18705,-73.92695,2025-04-15,high,not_detected,not_detected,high
4.18705,-73.92685,2025-04-03,high,not_detected,not_detected,high
4.18685,-73.92685,2025-04-15,high,not_detected,not_detected,high
4.18685,-73.92655,2025-04-03,high,not_detected,not_detected,high
4.18675,-73.92685,2025-04-15,high,not_detected,not_detected,high
4.18675,-73.92665,2025-04-03,high,not_detected,not_detected,high
4.18675,-73.92655,2025-04-03,high,not_detected,not_detected,high
4.18665,-73.92685,2025-04-15,high,not_detected,not_detected,high
4.18665,-73.92675,2025-04-03,high,not_detected,not_detected,high
4.18665,-73.92665,2025-04-03,high,not_detected,not_detected,high
4.18655,-73.92665,2025-06-02,high,not_detected,not_detected,high
4.18645,-73.92665,2025-06-14,high,not_detected,not_detected,high
4.18385,-73.96945,2025-06-19,high,not_detected,not_detected,high
4.18385,-73.96935,2025-06-19,high,not_detected,not_detected,high
4.18005,-73.96865,2025-06-14,high,not_detected,not_detected,high
4.17985,-73.96875,2025-06-26,high,not_detected,not_detected,high
4.17975,-73.96885,2025-06-19,high,not_detected,not_detected,high
4.17975,-73.96875,2025-06-26,high,not_detected,not_detected,high
4.17975,-73.96865,2025-06-26,high,not_detected,not_detected,high
4.17965,-73.96895,2025-06-19,high,not_detected,not_detected,high
4.17965,-73.96885,2025-06-19,high,not_detected,not_detected,high
4.17965,-73.96875,2025-06-26,high,not_detected,not_detected,high
4.17965,-73.96865,2025-06-26,high,not_detected,not_detected,high
4.17955,-73.96875,2025-06-26,high,not_detected,not_detected,high
4.17955,-73.96865,2025-06-26,high,not_detected,not_detected,high
4.17945,-73.96875,2025-06-26,high,not_detected,not_detected,high
4.17945,-73.96865,2025-06-26,high,not_detected,not_detected,high
4.17905,-73.97295,2025-04-15,high,not_detected,not_detected,high
4.17895,-73.97295,2025-04-15,high,not_detected,not_detected,high
